Title,Rating,Random
AlphaGo,,
Amanda Knox,,
Amarás al líder sobre todas las cosas,8.62,
Amazing Dinoworld,,
Ambassadors of the Jungle,,
Amend: The Fight for America,,
América,8.05,
America Exposed,7.56,
America the Beautiful,,
America to Me,,
America; I Too,,
America: Freedom to Fascism,,
America: The Story of Us,,
America's Backyard: Colombia,,
America's Bankrupt Banks (Inside the Meltdown),,
"America's Black Upper Class: Rich, Successful and Empowered",8.38,
America's Deadliest Disaster,,
America's Deadliest Weapon,7.94,
America's Great Indian Leaders,7.71,
America's Great Indian Nations,8.4,
America's Planned War on Britain: Revealed,8.03,
America's Surveillance State,7.69,
America's War Games,8.61,
America's War on Abortion,8.23,
American Addict,7.5,
American Conspiracy: The Octopus Murders,8.82,
American Dharma,7.93,
American Dreams (Lost and Found),8.21,
American Drug War: The Last White Hope,,
American Factory,,
American Hollow,,
American Manhunt: O.J. Simpson,,
American Movie,8.26,
American Murder: The Family Next Door,,
American Nitro,,
American Nomads,,
American Pimp,,
American Selfie: One Nation Shoots Itself,,
American Sheriff,,
American Teen,8.45,
American Tragedy,,
American: The Bill Hicks Story,,
"Amérique latine, l’année de tous les dangers",7.84,
Amish Life,,
Amongst White Clouds,,
"Amorth, the Exorcist",,
An American Bombing: The Road to April 19th,,
An American Family,7.88,
An American Satan,8.46,
An Honest Liar,,
An Inconvenient Border: Where China Meets North Korea,,
An Inconvenient Sequel: Truth to Power,,
An Inconvenient Truth,,
An Insignificant Man,,
An Introduction to Western Philosophy,7.55,
An Open Secret,,
Anarchism in America,,
Anatomy of a Bribe,8.06,
Anatomy of a Dandy,8,
Ancient Aliens Debunked,,
Ancient Apocalypse: The Maya Collapse,7.5,
Ancient Apocalypse: The Minoans,8.23,
Ancient Discoveries,,
And Along Came a Spider,7.71,
And We Go Green,7.92,
And with Him Came the West,7.82,
Andre the Giant,7.54,
André: The Voice of Wine,,
Andrés Iniesta: The Unexpected Hero,,
Andy Goldsworthy's Rivers and Tides,,
Anelka: Misunderstood,,
Animals Like Us: Business,,
Anna Nicole Smith: You Don’t Know Me,,
Annie Leibovitz: Life Through a Lens,7.57,
Another Body,,
Antarctica,8.31,
Anthropocene,,
Antibiotic Resistance,,
Antoine Griezmann: The Making of a Legend,,
Ants: Nature's Secret Power,,
Ape to Man,8.38,
Apollo 11,9.08,
Apollo 13: The True Story,,
Apollo's New Moon,8.54,
Appalachia: The Poorest Region of America,8.36,
Araya,,
Archeology 2.0,,
Architects of Control: Mass Control and The Future of Mankind,8.25,
Arctic Manhunt,7.5,
Arctic Sinkholes,,
Arctic Tale,7.79,
Arctic: Our Frozen Planet,7.73,
Are There More Than Three Dimensions?,8.33,
Are there Other Earths?,9,
Argentina's Economic Collapse,,
Aristotle's Lagoon,,
"Arithmetic, Population and Energy (Lecture)",7.8,
Armstrong,8.15,
"Arropiero, el vagabund de la mort",7.64,
Arsenal 49 - The Complete Unbeaten Record,8.36,
Arsenal Centurions - 100 Goals of Dennis Bergkamp,8.59,
Arsenal Legends: Dennis Bergkamp,,
Arsène Wenger: Invincible,,
Art Sleuth,,
Artem & Eva,,
Arthur Miller: Writer,,
Arzak: Since 1897,,
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty",8.14,
As It Happens: Pacific Crest Trail,,
Ascension,,
"Ashley Madison: Sex, Lies & Scandal",,
Asian Americans,,
Asian Tsunami Disaster,8.17,
Ask Any Buddy,,
Asperger’s Are Us,,
Assassins,,
Assume Nothing,7.99,
Asteroid Strike,,
Asteroids: A New El Dorado in Space?,,
Astral,,
"At Night, They Dance",,
At the Edge of the World,9.05,
At the Heart of Gold: Inside the USA Gymnastics Scandal,8.68,
Atari: Game Over,,
Athens: The Truth about Democracy,,
Athlete A,8.91,
Atlantis: The Evidence,,
ATOM,8.21,
Attenborough and the Empire of the Ants,,
Attenborough’s Life in Colour,7.8,
Attenborough’s Wonder of Song,,
Attica,7.62,
AUM: The Cult at the End of the World,8.73,
Author: The JT LeRoy Story,8.31,
Autism in Love,,
Autism: The Musical,,
Autism: The Sequel,,
Autofocus,,
Autonomy,,
Awake: The Life of Yogananda,,
Awaken,,
Awakening the Dreamer: Changing the Dream,,
Ayurveda: Art of Being,,
Aztecs: Sacrifice And Science,,
Baalbek Megaliths,,
Babies,,
Baby God,,
Back From the Edge,8.53,
Bad Borders,,
Bad Surgeon: Love Under the Knife,7.95,
Badmom,8.9,
Baka: The People of the Rainforest,,
Balkan Spirit,,
"Ballet, Sweat and Tears",7.51,
Bama Rush,8.58,
"Banana Land: Blood, Bullets and Poison",,
Banaz: A Love Story,,
Bangkok Girl,,
Bangladesh: The Dawn of Islamism,,
Bank Robbers: The Last Great Heist,7.71,
Banking With Hitler,,
Banksy Does New York,8.58,
Baraka,8.54,
Barbarians,8.29,
Bare Knuckle,9.08,
Barefoot in the Kitchen,,
Bataan Rescue,8.82,
Batkid Begins,,
Batman Unmasked: The Psychology of the Dark Knight,8.54,
Battery Powered Homes,,
Battle of the Brains,7.68,
Battle Tank,7.8,
Battling the Yakuza,,
Bazaar Bizarre: The Strange Case of Serial Killer Bob Berdella,,
Beanie Mania,,
Bears,8.12,
Beating The Bomb,8.19,
Beautiful Equations,7.54,
Beautiful Minds: The Psychology of the Savant,7.7,
Beautiful Young Minds,7.92,
Beauty and the Creep,,
Beba,,
Becoming Bulletproof,,
Becoming Cousteau,,
Becoming Human,8.26,
Becoming Warren Buffett,7.95,
Becoming Zlatan,8.23,
Beer Culture,8.21,
Beetle Queen Conquers Tokyo,8.17,
Before Pangaea,,
Before Stonewall,,
Before the Flood,,
Before the Music Dies (B4MD),7.58,
Before We Are Forgotten,,
Behind Bars,,
Behind Closed Doors,8.03,
Behind The Big News: Propaganda and the CFR,,
Behind the Card,8.59,
Behind the Curve,,
Behind the White Glasses,7.57,
Beijing Besieged by Waste,,
Being Bridget Jones,,
Being Canadian,7.72,
Being Elmo: A Puppeteer’s Journey,,
Being Evel,8.14,
Being Heumann,8,
Being James Bond,7.79,
Being Japanese,,
Being Me,,
Ben: Diary of a Heroin Addict,,
Beneath The Veil,,
Berlin Bouncer,,
Bert Stern - Original Madman,,
Beslan,,
Best Worst Movie,,
Bestseller Barcelona: The World of Carlos Ruiz Zafón,,
Better Brain Health: We Are What We Eat,9.17,
Betting on Zero,7.92,
Betty White: First Lady of Television,8.28,
Beware the Slenderman,7.6,
Beyond All Boundaries,8.13,
Beyond Fentanyl,,
Beyond Human,,
Beyond Our Ken,8.2,
Beyond the Atom,,
Beyond the Mat,,
Beyond the Spectrum,8.11,
Beyond the Spectrum: Being Taken,,
Beyond Thought,,
Beyond Utopia,,
Bhutto,,
Big Al,8.07,
Big Business: Food Empires,7.82,
Big Fur,,
Big Pharma: Gaming the System,8.5,
Big Sugar,,
Bigas x Bigas,,
Bigger Stronger Faster*,,
Bigger Than Enron,7.76,
"Bigger, Stronger, Faster",,
Bihttoš,7.97,
"Bikram: Yogi, Guru, Predator",,
Bilderberg'$ Club,8.33,
Bill Cosby: An American Scandal,,
Bill Cosby: Walking Free,8.93,
Bill Cunningham New York,8.18,
Bill Gates: How a Geek Changed the World,,
Bill T. Jones: Still/Here,,
Billions in Change,7.73,
Billy,8.58,
Bin Laden’s Hard Drive,,
"Biography - Anne Rice: Vampires, Witches and Bestsellers",,
Biology of Dads,7.55,
Birth in Nepal,,
Birth of the Earth,,
Birth of the Planet,,
Bitcoin: Beyond the Bubble,8.09,
Bitcoin: The End of Money as We Know It,,
Bitconned,8.57,
Black Box UFO Secrets,,
Black Divaz,,
Black Holes and the High Energy Universe,,
Black Lives Matter,7.91,
Black Panthers,8.36,
Black Power: A British Story of Resistance,8.11,
Blackfish,8.3,
Blind Spot,8.34,
Bling Ring: Hollywood Heist,7.54,
Blood & Flesh: The Reel Life & Ghastly Death of Al Adamson,,
Blood and Guts: A History of Surgery,7.66,
Blood and Oil,,
Blood Brothers: Malcolm X & Muhammad Ali,7.77,
Blood Coltan,8.24,
Blood Diamonds,,
"Bloody Nose, Empty Pockets",,
"Blow: The True Story of Cocaine, a Bear, and a Crooked Kentucky Cop",,
Blue Gold: American Jeans,8.58,
Blue Gold: World Water Wars,,
Blue Planet II,,
Blue Whales: Return of the Giants,8.81,
"Bob Ross: Happy Accidents, Betrayal & Greed",8.51,
Bobby,,
Bobby Robson: More Than a Manager,8.31,
Boca Juniors 3D: The Movie,8.82,
Boca Juniors Confidential,,
Boeing: Deadly Assumptions,,
Boiled Angels: The Trial of Mike Diana,,
Bomb It,9.01,
Bones Brigade: An Autobiography,,
Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,,
Boris Ryzhy,,
Born in China,,
Born in Gaza,,
Born in Syria,,
Born into Brothels,,
Born Into Brothels: Calcutta’s Red Light Kids,8.61,
Born Rich,,
Born to Be Born,,
Born to Be Wild,7.5,
Borneo Death Blow,,
Borsalino City,,
Bosch: The Garden of Dreams,,
Bowling for Columbine,,
Boys State,,
Brain Games: Super Senses,7.89,
Brain Story,,
Brainwashed: Sex-Camera-Power,8.06,
Brangelina: The Inside Story,,
Braxília,,
Brazil: An Inconvenient History,8.52,
Break Point,,
Breakfast Special,,
Breaking the Cycle,8,
Breaking The Silence: Truth and Lies in the War On Terror,,
Breakthrough,,
Brillo Box (3¢ off),8.2,
Bring Down The Walls,7.64,
Bringing Up Baby,,
Britain's Bloodiest Dynasty,,
Britain's Modern Slave Trade,,
Britain's Shoplifting Gangs Exposed,7.96,
British Empire in Colour,,
Broadway Musicals: A Jewish Legacy,,
Brock: Over the Top,8.75,
Broken Dreams: The Boeing 787,8.6,
Broken Lives Illustrated,,
Broken Toys,,
"Brother, Can You Spare a Dime?",,
Brother’s Keeper,7.73,
Bruce Lee and the Outlaw,8.25,
Bruce Lee: A Warrior's Journey,8.43,
Bruce Lee: In His Own Words,7.8,
Bruno Sammartino,7.66,
BTK: Confession of a Serial Killer,,
Buck Breaking,,
Buenos Aires al Pacífico,8.56,
Buenos Aires in Relief,8.24,
Bugging Hitler's Soldiers,,
Build It Bigger: Floating City,,
Bukowski: Born Into This,,
Bulgaria's Abandoned Children,,
Bulgaria's Abandoned Children: Revisited,8.34,
Bulkland,8.56,
Bureau 39: Kim's Cash Machine,,
Buried Truth of the Maya,,
Buried: The 1982 Alpine Meadows Avalanche,,
Burn With Us,,
Burning Hope: The Making of Hitman Absolution,,
Burp! Pepsi v Coke in the Ice Cold War,8.19,
Burzynski: Cancer Is Serious Business,7.5,
Bush Family Fortunes,7.5,
Buying the War,,
Bye Bye Car,8.33,
Bye Bye Havana,8.09,
Byzantium: The Lost Empire,7.9,
Caesar's Messiah,8.58,
Calamity Jane: Legend of The West,,
Calcutta,,
California Dreaming,7.55,
California Typewriter,,
Call Her Ganda,8.13,
Call Me Lucky,8.19,
Cameraperson,8.12,
Can Tunis,8.78,
Can We Do It Ourselves?,7.92,
Can You Hack It? - Hackers Wanted,8.76,
Can’t Get You Out of My Head,7.98,
Can't Stop Eating,8.08,
Canada's Dark Secret,,
Canada's Toxic Chemical Valley,,
Cancer: The Forbidden Cures,7.86,
Cane Toads: An Unnatural History,,
Cannabis Research Studies,,
Cannabis Science: How Marijuana Affects Health,,
Cannabis: A Lost History,,
Cantábrico,,
Capitalism,8.47,
Capitalism Is the Crisis,7.71,
Capitalism: A Love Story,,
Capitalizing Happiness,7.86,
Captivated: The Trials of Pamela Smart,7.74,
Captive Audience: A Real American Horror Story,8.3,
Capturing the Friedmans,8.01,
Capturing the Killer Nurse,,
Car of the Future,8.53,
Carlos Almaraz: Playing with Fire,8.57,
Carlos Jáuregui: The Unforgettable Fag,7.82,
Carmel: Who Killed Maria Marta?,,
Carousella,,
Carrier,7.86,
Cartel Country,,
Cartel Land,8.07,
Cash for Kim,,
Cassandro the Exotico !,,
Castro in Winter,,
Cat Tales,,
"Cataluña, Espanya: la pel·lícula",7.53,
Catastrophic Failure,,
Catching Hell,,
Catfish,,
Caught in the Net,,
Cause of Death: Unknown,7.68,
Cause: The Birth of Hero,8.48,
Celebrating Marvel’s Stan Lee,,
Century of Enslavement: The History of the Federal Reserve,7.99,
Césarée,,
Chain Reaction,,
Challenger: The Final Flight,8.5,
Champion,,
Champs,8.88,
Changing World Order,,
Chariots of the Gods,,
Charles Darwin and the Tree of Life,,
Charles Ponzi,7.5,
Charlie: The Life and Art of Charles Chaplin,,
Chasing Bubbles,,
Chasing Coral,8.19,
Chasing Ghosts: Beyond the Arcade,,
Chavismo: The Plague of the 21st Century,7.82,
Checkpoint rock: Canciones desde Palestina,,
Cheetah: Against All Odds,,
Chelsea on the Rocks,,
Chemsex,7.7,
Chemsex: accros au sexe sous drogues,,
Chernobyl,8.15,
Chernobyl’s Café,7.69,
Chevolution,,
Chevron vs. the Amazon,8.58,
Chicago 10,9,
Chicago Boys,,
Child of Rage: A Story of Abuse,,
Childhood 2.0,,
Children for Sale,8.54,
Children Full of Life,,
Children of Darkness,,
Children of God,,
Children of the Decree,,
Children of the Secret State,,
Children of the Stars,,
Children of the Tsunami,8.22,
Children Underground,,
Chile Rising,,
Chimp Crazy,,
Chimp Empire,8.04,
Chimpanzee,7.82,
China from the Inside,8.59,
China or Bust,8.39,
China: Surveillance State or Way of the Future?,8.46,
China's Forgotten Emperor,8.72,
Chocolate's Heart of Darkness,7.86,
Choir,,
Chop & Steele,8.14,
Chopin: The Women Behind the Music,8.36,
Christmas in Hollywood,7.71,
Christo and Jeanne-Claude: Monumental Art,,
Christopher Reeve: Hope in Motion,,
Chronos,,
Chuck Jones: Extremes and In-Betweens - A Life in Animation,7.76,
"Ciao, Federico!",8.29,
Circus of Books,8,
Cities of the Underworld,8.26,
Citizen Roh,8.81,
Citizenfour,,
City of Angels,,
City of Dreams,7.89,
City Slickers Can’t Stay with Me: The Coach Bob Larsen Story,,
City without Water,,
Ciudadano Negrín,,
Civilisation,,
Civilization: Is the West History?,,
Class Action Park,,
Clearing the Smoke: The Science of Cannabis,,
Clever Monkeys,7.91,
Client 9: The Rise and Fall of Eliot Spitzer,,
Climate Extremes: At the Abyss?,,
Clinton Cash,,
Cloning the Woolly Mammoth,8.09,
Close to Vermeer,,
Clouds Are Not Spheres,9.09,
Cobra Gypsies,,
Cocaine Bear: The True Story,7.51,
Cocaine Cowboys,7.97,
Cocaine Cowboys 2,,
Cocaine Cowboys: Reloaded,8.36,
Cocaine Cowboys: The Kings of Miami,7.58,
Cocaine: White Gold,,
Cold Case Ghost,7.64,
Cold Case Hammarskjöld,7.78,
Cold Case: Who Killed JonBenét Ramsey,8.46,
Collapse,,
Collective,,
Colliding Continents,8.54,
Collision: Christopher Hitchens vs. Douglas Wilson,,
"Come to Las Vegas, Baby",8.27,
Comedian,,
Comic-Con Episode IV: A Fan’s Hope,,
Conan O’Brien Can’t Stop,,
Condenados al corredor,,
Confessions of a Serial Killer: Jeffrey Dahmer,7.9,
Confessions of a Superhero,8.5,
Confessions Of An Alien Abductee,,
Confessions of an Undercover Cop,,
"Congo, My Precious",8.5,
Congo: Millionaires of Chaos,,
"Congo: White King, Red Rubber, Black Death",7.76,
Conman: The Life and Crimes of Mark Acklom,8.04,
Connections,,
Console Wars,,
Conspiracy of Silence,,
Consumed,,
Consuming Kids,,
Contra el tiempo,7.63,
Control Room,,
Conversations with a Killer: The Jeffrey Dahmer Tapes,,
Conversations with a Killer: The John Wayne Gacy Tapes,7.73,
Conversations with a Killer: The Ted Bundy Tapes,8.52,
Cooking Up Murder: Uncovering the Story of César Román,8,
Copacabana,7.76,
Coral Reef Adventure,8.13,
Core of Corruption: In the Shadows,,
Corman’s World,,
Corporate Fascism,7.98,
Cosmic Journeys,8.48,
Cosmic Voyage,8.55,
Cosmos,,
Cosmos: A Personal Voyage,8.36,
Could You Survive in Napoleon's Army?,,
Counter-Intelligence,,
Courtroom 3H,,
Cow,,
Cowspiracy: The Sustainability Secret,,
"Crack: Cocaine, Corruption & Conspiracy",7.63,
Cracking the Colour Code,7.94,
Cracking the Maya Code,,
Cracking Up,7.87,
Crash Course: Biology,7.83,
Crash Course: Ecology,8.05,
Crash Course: US History,,
Crash Course: World History,8.68,
Crash: Are we Ready for the Next Crisis,,
Cries from Syria,8,
Crime Scene: The Texas Killing Fields,8.44,
Crime Scene: The Times Square Killer,,
Crime Scene: The Vanishing at the Cecil Hotel,,
Criminal Doctors: Auschwitz,,
Crip Camp: A Disability Revolution,,
Crisis in the Congo: Uncovering the Truth,7.5,
Crocodile in the Yangtze,8.05,
Crossing Mexico's Other Border,8.26,
Crossing the Bridge: The Sound of Istanbul,8.63,
Crude,7.69,
Crumb,7.64,
Crystal Lake Memories: The Complete History of Friday the 13th,7.93,
Cuba's Fading Revolution,8.17,
Cuenca,,
Culture in Decline: Consumption-Vanity Disorder,,
Culture of Fear,,
Cunningham,,
Curry & Cyanide: The Jolly Joseph Case,8.06,
Cutie and the Boxer,,
Cyberjihad,8.63,
D'autres Mondes (Other Worlds),,
Dads,7.87,
Daewon,8.29,
Dagami Daytoy,,
Daguerréotypes,,
Dahmer on Dahmer: A Serial Killer Speaks,,
Dancer,8.19,
Dancing for the Devil: The 7M TikTok Cult,,
Dancing in Jaffa,7.95,
Dangerous Knowledge,7.61,
Dans le labyrinthe de Marienbad,,
Dark Days,,
Dark Hollywood: Charlie Sheen,,
Dark Star: H. R. Giger’s World,8.26,
Darwin's Nightmare,7.74,
Darwin’s Nightmare,,
Daughters,8.09,
Daughters of the Sexual Revolution: The Untold Story of the Dallas Cowboys Cheerleaders,,
Davi’s Way,,
David Attenborough: A Life on Our Planet,,
David Attenborough's First Life,,
David Attenborough’s Rise of Animals: Triumph of the Vertebrates,,
David Blaine: Real or Magic,,
David Bowie: Sound and Vision,8.51,
David Guetta: Nothing But the Beat,,
Day of Rage: How Trump Supporters Took the U.S. Capitol,7.65,
Day of the Asteroid,7.85,
Days and Nights of Dimitra K.,,
De Humani Corporis Fabrica,7.6,
De Palma,,
De reparto: retrato de un actor,,
Dead White Man's Clothes,,
Dear Basketball,,
Dear Fidel,,
Dear Fidel: Marita’s Story,8.86,
Dear Future Children,,
Dear Zachary: A Letter to a Son About His Father,,
Dearest Executioners,7.56,
Death by China,7.65,
Death of a Nation: The Timor Conspiracy,8.4,
Death of the Sun,8.19,
Death on the Railroad,,
Debtasized,,
Decoding da Vinci,,
Deep Sea,,
Deep Water,8.56,
Deep Water: The Real Story,,
Deepwater Disaster: The Untold Story,,
Defeating the Hackers,,
Defying the Nazis: The Sharps’ War,,
Dehesa: The Forest of the Iberian Lynx,,
Deliver Us From Evil,,
Democracy for Sale,8.66,
Demons of Eden,8.68,
Dennis Hopper: Uneasy Rider,7.64,
Depp Vs. Heard: Winners & Losers,7.55,
Derby Days Superclásico: Boca Juniors v River Plate,7.86,
Descendant,8.4,
Desert Lights,7.84,
Después de… Primera parte: no se os puede dejar solos,7.88,
Después de… Segunda parte: atado y bien atado,,
Detlef: 60 Years Gay,,
Detox or Die,7.95,
Devil’s Chapel,7.54,
Devil’s Freedom,,
Di Cavalcanti Di Glauber,,
Dick Johnson Is Dead,8.34,
Diego Maradona,8,
DIG!,,
Digital Amnesia,,
Digital Food,,
Dimensions: A Walk Through Mathematics,,
Dinosaur Wars,,
Dinosaurs: The Final Day with David Attenborough,,
Dior and I,,
Directed by Alan Smithee,,
Directed by Bergman (The Making of Saraband),,
Dirty Business,8.33,
Dirty John: The Dirty Truth,,
Dirty Pictures,,
Dirty Wars,,
Disaster at Chernobyl,,
Disclosure,,
Discovering Mavericks,8.06,
Discovering Psychology,8.99,
Discovery Atlas: China Revealed,7.81,
Disney Channel's Theme: A History Mystery,8.13,
Disney's FastPass: A Complicated History,,
Disney’s FastPass: A Complicated History,,
Disruption,,
Divide In Concord,,
Divine Trash,,
DIYSEX,8.13,
Do the Math,,
Do We Really Need the Moon?,8.03,
Doc Emrick - The Voice of Hockey,,
"Doctrine of Discovery: Stolen lands, Strong Hearts",,
Dogs and Us: The Secret of a Friendship,,
Dogs Decoded,,
"Doing Time, Doing Vipassana",8.21,
Dolores: The Truth About the Wanninkhof Case,8.23,
Dolphin Reef,8.39,
Dolphins,7.83,
Dolphins: Spy in the Pod,,
Dominion,7.57,
Don’t Call Me Bigfoot,,
Don’t F**k with Cats: Hunting an Internet Killer,,
Don't Panic: The Truth About Population,,
Don’t Take Me Home,8.36,
Don’t Tell Anyone,7.53,
Donald Trump Is President and You’re Not: A Portrait of Donald J. Trump,,
Donald Trump: The Apprentice President?,8.88,
DOOM Resurrected,9.24,
Dope Sick Love,8.28,
Dopesick: Fentanyl's Deadly Grip,,
Down to Earth,,
Downfall: The Case Against Boeing,,
Download: The True Story of the Internet,7.91,
Downstream to Kinshasa,,
Downwind,8.13,
Dr. Money and the Boy With No Penis,,
Drain the Ocean,,
Drakmar: A Vassal’s Journey,,
Dream Boat,8.31,
Dream Deceivers: The Story Behind James Vance vs. Judas Priest,,
Dream Empire: China's Real Estate Bubble,,
Dream/Killer,,
Dreamland: The Burning of Black Wall Street,,
Dreams from the Outback,7.68,
Dressed in Blue,,
Dressed to Live: Wildlife Styles,8.78,
Drop in the Ocean?,,
"Drugs, Inc. - Cartel City, Arizona",,
"Drugs, Inc. - Cocaine",7.81,
"Drugs, Inc. - Heroin",,
"Drugs, Inc. - Wasted in Seattle",,
Drunk Stoned Brilliant Dead: The Story of the National Lampoon,7.8,
Dubai Palm Islands,8.06,
Dude Perfect: Backstage Pass,,
Dying for Gold: The Philippines' Illegal Treasure Mines,,
Dying To Have Known,,
Dying to Tell,,
Dynasties,7.83,
E-Team,,
Earth,,
Earth 2100: The Final Century of Civilization?,,
Earth on Fire,,
Earth Story,7.86,
Earth: Making of a Planet,8.77,
Earth: One Amazing Day,7.88,
Earth's Impossible Fossils,7.8,
Earth's Lost Billion Years,8.15,
Earth’s Natural Wonders,7.62,
Earth's Prehistoric All Sea,,
Earthlings,7.71,
Earthrise: The First Lunar Voyage,,
Earthships,9.22,
Eating Our Way to Extinction,7.68,
Ecstasy Rising,,
Eddie Griffin: DysFunktional Family,,
Edgar Cayce,,
