A Life In Books: The Rise and Fall of Bleu Mobley,Warren Lehrer,3.92 avg rating — 60 ratings,False,
A Map to the Sun,Sloane Leong,"3.75 avg rating — 1,999 ratings",False,
A New Dawn,John Jackson Miller,"3.81 avg rating — 16,601 ratings",False,
A Quick & Easy Guide to Asexuality,Molly Muldoon,"4.11 avg rating — 1,329 ratings",False,
A Tale as Tall as Jacob: Misadventures With My Brother,Samantha  Edwards,3.84 avg rating — 243 ratings,False,
"A Thief Among the Trees (An Ember in the Ashes Graphic Novel Prequel, #1)",Sabaa Tahir,"3.75 avg rating — 3,001 ratings",False,
"A Thousand Ships (Age of Bronze, #1)",Eric Shanower,"3.91 avg rating — 1,495 ratings",False,
A Wealth of Pigeons: A Cartoon Collection,Harry Bliss|(Illustrator),"3.86 avg rating — 1,775 ratings",False,
A.D.: New Orleans After the Deluge,Josh Neufeld,"3.83 avg rating — 3,660 ratings",False,
AA Liberators,Alex Letner,4.94 avg rating — 16 ratings,False,
Abandon the Old in Tokyo,Yoshihiro Tatsumi,"3.95 avg rating — 2,640 ratings",False,
Absolute Planetary Book One,Warren Ellis,"4.51 avg rating — 1,725 ratings",False,
Absolute Top 10,Alan             Moore,4.55 avg rating — 223 ratings,False,
Across a Field of Starlight,Blue Delliquanti,"3.72 avg rating — 2,239 ratings",False,
Act (Click #3),Kayla Miller,"4.19 avg rating — 4,416 ratings",False,
Acting Class,Nick Drnaso,"4.19 avg rating — 2,163 ratings",False,
Action Journalism,Eric Skillman,4.10 avg rating — 20 ratings,False,
"Adulthood Is a Myth (Sarah's Scribbles, #1)",Sarah Andersen,"4.12 avg rating — 126,662 ratings",False,
After the Ink Dries,Cassie Gustafson,4.19 avg rating — 707 ratings,False,
After the Rain: A Graphic Novel,Nnedi Okorafor,"3.65 avg rating — 1,575 ratings",False,
After: The Graphic Novel (Volume One),Anna Todd,"3.64 avg rating — 3,896 ratings",False,
"Afterlife with Archie, Vol. 1: Escape from Riverdale",Roberto Aguirre-Sacasa|(Writer),"4.06 avg rating — 6,945 ratings",False,
"Agatha Heterodyne and the Beetleburg Clank (Girl Genius, #1)",Phil Foglio,"4.14 avg rating — 4,458 ratings",False,
"Age Matters Volume One (Age Matters, #1)",Enjelicious,3.92 avg rating — 698 ratings,False,
Age Matters Volume Two,Enjelicious,4.05 avg rating — 291 ratings,False,
"Age of Reptiles Omnibus, Vol. 1",Ricardo Delgado,4.04 avg rating — 662 ratings,False,
Age of Reptiles: The Hunt,Ricardo Delgado,3.85 avg rating — 179 ratings,False,
Age of Reptiles: Tribal Warfare,Ricardo Delgado,3.90 avg rating — 322 ratings,False,
Ain't Burned All the Bright,Jason Reynolds,"4.42 avg rating — 16,338 ratings",False,
Akim Aliu: Dreamer,Akim Aliu,4.08 avg rating — 532 ratings,False,
"Akira, Vol. 1",Katsuhiro Otomo,"4.40 avg rating — 35,360 ratings",False,
Älä unohda minua,Anne Muhonen|(illustrator),3.86 avg rating — 227 ratings,False,
Alan Moore's The Courtyard,Alan             Moore,"3.60 avg rating — 2,232 ratings",False,
Alan's War: The Memories of G.I. Alan Cope,Emmanuel Guibert,"4.04 avg rating — 1,330 ratings",False,
Albert and the Others,Guy Delisle,3.20 avg rating — 389 ratings,False,
"Aldebaran: L'intégrale (Aldebaran, #1-5)",Luiz Eduardo de Oliveira (Leo),4.27 avg rating — 953 ratings,False,
Alec: How to Be an Artist,Eddie Campbell,4.01 avg rating — 189 ratings,False,
"Alex + Ada, Vol. 1",Jonathan Luna,"3.95 avg rating — 9,106 ratings",False,
"Alex + Ada, Vol. 2",Jonathan Luna,"3.98 avg rating — 7,104 ratings",False,
Alias Omnibus,Brian Michael Bendis,"4.42 avg rating — 1,878 ratings",False,
Alias the Cat!,Kim Deitch,3.92 avg rating — 299 ratings,False,
"Alias, Vol. 1",Brian Michael Bendis,"4.06 avg rating — 11,062 ratings",False,
Alice in Sunderland,Bryan Talbot,"3.73 avg rating — 1,700 ratings",False,
Alienated,Simon Spurrier,3.60 avg rating — 492 ratings,False,
Aliens/Predator: Deadliest of the Species,Chris Claremont,3.36 avg rating — 132 ratings,False,
Alison,Lizzy Stewart,"4.35 avg rating — 1,880 ratings",False,
All My Friends (Eagle Rock #3),Hope Larson,3.88 avg rating — 606 ratings,False,
All My Friends Are Ghosts,S.M. Vidaurri,3.32 avg rating — 730 ratings,False,
All Together Now (Eagle Rock #2),Hope Larson,"3.72 avg rating — 1,353 ratings",False,
"All-New X-Men, Vol. 1: Yesterday's X-Men",Brian Michael Bendis|(Writer),"4.04 avg rating — 7,253 ratings",False,
All-Star Superman,Grant Morrison,"4.26 avg rating — 13,841 ratings",False,
"All-Star Superman, Vol. 1",Grant Morrison,"4.10 avg rating — 43,949 ratings",False,
Allergic,Megan Wagner Lloyd,"4.25 avg rating — 10,914 ratings",False,
Almost American Girl,Robin Ha,"4.22 avg rating — 13,882 ratings",False,
Alone in Space: A Collection,Tillie Walden,"4.02 avg rating — 2,583 ratings",False,
"ALPHA…Directions (Die große Erzählung, #1)",Jens Harder,4.55 avg rating — 218 ratings,False,
Always Human,Ari North,"4.16 avg rating — 3,800 ratings",False,
Always Never,Jordi Lafebre,"4.37 avg rating — 7,864 ratings",False,
"Amarillo (Blacksad, #5)",Juan Díaz Canales,"4.08 avg rating — 5,300 ratings",False,
Amazing Spider-Man (1963) #31-33: If This Be My Destiny...!,Steve Ditko,4.22 avg rating — 63 ratings,False,
"Amazons, Abolitionists, and Activists: A Graphic History of Women's Fight for Their Rights",Mikki Kendall,"4.12 avg rating — 2,010 ratings",False,
Amelia Erroway: Castaway Commander,Betsy Peterschmidt,3.82 avg rating — 354 ratings,False,
"Amelia Fang and the Memory Thief (Amelia Fang, #3)",Laura Ellen Anderson,4.25 avg rating — 780 ratings,False,
Amelia Fang and the Rainbow Rangers,Laura Ellen Anderson,4.28 avg rating — 584 ratings,False,
Amelia Rules! Volume 1: The Whole World's Crazy (Amelia Rules! #1),Jimmy Gownley,"4.06 avg rating — 2,293 ratings",False,
American Born Chinese,Gene Luen Yang,"3.89 avg rating — 96,669 ratings",False,
"American Elf: The Collected Sketchbook Diaries, Vol. 1",James Kochalka,"4.25 avg rating — 2,226 ratings",False,
"American Gods (American Gods, #1)",Neil Gaiman,"4.11 avg rating — 950,862 ratings",False,
American Splendor: The Life and Times of Harvey Pekar,Harvey Pekar,"4.02 avg rating — 7,327 ratings",False,
"American Vampire, Vol. 1",Scott Snyder|(Writer),"3.97 avg rating — 25,659 ratings",False,
American Widow,Alissa Torres,"3.36 avg rating — 1,202 ratings",False,
"Amphigorey (Amphigorey, #1)",Edward Gorey,"4.05 avg rating — 58,639 ratings",False,
An Embarrassment of Witches,Sophie  Goldstein,"3.40 avg rating — 1,381 ratings",False,
And the Pursuit of Happiness,Maira Kalman,"4.31 avg rating — 7,509 ratings",False,
Angel & Faith: Daddy Issues,Christos Gage,"4.14 avg rating — 1,568 ratings",False,
Angel & Faith: Death and Consequences,Christos Gage,4.09 avg rating — 992 ratings,False,
Angel & Faith: Family Reunion,Christos Gage,"4.07 avg rating — 1,178 ratings",False,
Angel & Faith: Live Through This,Christos Gage,"4.04 avg rating — 1,901 ratings",False,
"Angel & Faith: Season 9, Volume 3",Christos Gage,4.30 avg rating — 179 ratings,False,
Angel & Faith: Season Nine #1,Christos Gage,"4.31 avg rating — 1,065 ratings",False,
"Angel & Faith: What You Want, Not What You Need",Christos Gage,4.08 avg rating — 806 ratings,False,
"Angel Sanctuary, Vol. 1",Kaori Yuki,"3.83 avg rating — 7,379 ratings",False,
"Angel: After the Fall, Volume 1",Joss Whedon|(Plotting),"3.78 avg rating — 4,271 ratings",False,
"Angel: After the Fall, Volume 2: First Night",Joss Whedon|(Plotting),"3.73 avg rating — 2,417 ratings",False,
"Angel: After the Fall, Volume 3",Joss Whedon|(Plotting),"3.86 avg rating — 2,106 ratings",False,
"Angel: After the Fall, Volume 4",Joss Whedon,"3.96 avg rating — 1,987 ratings",False,
Angel: Aftermath,Kelley Armstrong|(Writer),"3.72 avg rating — 1,386 ratings",False,
Angel: Last Angel in Hell,Brian Lynch|(Writer),"3.94 avg rating — 1,029 ratings",False,
Angel: Season 11,Corinna Sara Bechko,3.25 avg rating — 56 ratings,False,
Angel: The Curse,Jeffrey J. Mariotte,3.59 avg rating — 234 ratings,False,
Angel: The End,Bill Willingham,3.96 avg rating — 251 ratings,False,
"Animal Man, Vol. 1",Grant Morrison,"4.10 avg rating — 6,157 ratings",False,
"Animal Man, Volume 1: The Hunt",Jeff Lemire|(Writer),"4.01 avg rating — 7,228 ratings",False,
"Animosity, Vol. 5: Southern Gothic",Marguerite Bennett,3.42 avg rating — 125 ratings,False,
"Animosity, Vol. 6: Kings of Texas",Marguerite Bennett,3.14 avg rating — 71 ratings,False,
"Anita Blake, Vampire Hunter: Guilty Pleasures",Laurell K. Hamilton,"4.35 avg rating — 2,323 ratings",False,
"Anita Blake, Vampire Hunter: The Laughing Corpse, Volume 2: Necromancer",Laurell K. Hamilton,"4.32 avg rating — 1,987 ratings",False,
Anna Sewell's Black Beauty : the graphic novel,June Brigman,"4.12 avg rating — 1,084 ratings",False,
Anne Frank's Diary: The Graphic Adaptation,Ari Folman|(adapter),"4.38 avg rating — 18,603 ratings",False,
Anne of Green Gables: A Graphic Novel,Mariah Marsden|(Adapter),"4.33 avg rating — 14,442 ratings",False,
Anne of West Philly,Ivy Noelle Weir,"3.88 avg rating — 3,010 ratings",False,
"Anne: An Adaptation of Anne of Green Gables (Sort Of) (Sort Of Adaptations, #1)",Kathleen Gros,"3.84 avg rating — 1,147 ratings",False,
Annie Sullivan and the Trials of Helen Keller,Joseph  Lambert,"4.04 avg rating — 2,045 ratings",False,
Another Kind,Trevor Bream,"4.41 avg rating — 1,792 ratings",False,
Ant Colony,Michael DeForge,"4.08 avg rating — 2,225 ratings",False,
Anti/Hero,Kate Karyus Quinn,"4.03 avg rating — 1,549 ratings",False,
Any Empire,Nate Powell,3.14 avg rating — 880 ratings,False,
Anya's Ghost,Vera Brosgol,"3.91 avg rating — 89,097 ratings",False,
Apollo's Song,Osamu Tezuka,"3.77 avg rating — 1,480 ratings",False,
Apple Crush,Lucy Knisley,"4.06 avg rating — 2,909 ratings",False,
"Appleseed, Vol. 1: The Promethean Challenge",Masamune Shirow,"3.93 avg rating — 1,671 ratings",False,
"Aquaman, Volume 1: The Trench",Geoff Johns|(Writer),"4.14 avg rating — 10,879 ratings",False,
"Aquaman, Volume 2: The Others",Geoff Johns|(Writer),"4.04 avg rating — 4,833 ratings",False,
Arab in America,Toufic El Rassi,3.69 avg rating — 504 ratings,False,
Archie by Nick Spencer Vol. 2: Archie & Sabrina,Nick Spencer,3.64 avg rating — 288 ratings,False,
"Arctic-Nation (Blacksad, #2)",Juan Díaz Canales,"4.37 avg rating — 5,602 ratings",False,
Are You My Mother? A Comic Drama,Alison Bechdel,"3.71 avg rating — 34,140 ratings",False,
Arhomatico,Christina Olindo,5.00 avg rating — 2 ratings,False,
Arkadi and the Lost Titan,Caza,,False,
Armed With Madness: The Surreal Leonora Carrington,Mary M. Talbot,3.78 avg rating — 127 ratings,False,
Arrugas,Paco Roca,"4.36 avg rating — 8,803 ratings",False,
Arsène Schrauwen,Olivier Schrauwen,4.13 avg rating — 995 ratings,False,
Artemis Fowl: The Arctic Incident (The Graphic Novel),Eoin Colfer,3.99 avg rating — 152 ratings,False,
"Artemis Fowl: The Graphic Novel (Artemis Fowl: The Graphic Novels, #1)",Eoin Colfer,"3.77 avg rating — 8,880 ratings",False,
Artie and the Wolf Moon,Olivia   Stephens,"3.81 avg rating — 3,850 ratings",False,
Aru Shah and the End of Time: the Graphic Novel,Joe Caramagna|(Adapter),4.04 avg rating — 735 ratings,False,
"Ascender, Vol. 2: The Dead Sea",Jeff Lemire,"4.17 avg rating — 1,861 ratings",False,
"Ascender, Vol. 3: The Digital Mage",Jeff Lemire,"4.09 avg rating — 1,496 ratings",False,
"Ascender, Vol. 4: Star Seed",Jeff Lemire,"3.97 avg rating — 1,225 ratings",False,
Ash & Thorn: Recipe For Disaster,Mariah McCourt,3.59 avg rating — 69 ratings,False,
Asterios Polyp,David Mazzucchelli,"4.21 avg rating — 27,813 ratings",False,
"Asterix and the Class Act (Astérix, #32)",René Goscinny,"3.78 avg rating — 3,607 ratings",False,
"Asterix and the Soothsayer (Asterix, #19)",René Goscinny,"4.14 avg rating — 6,899 ratings",False,
"Astérix et Latraviata (Astérix le Gaulois, #31)",Albert Uderzo|(illustrator),"3.72 avg rating — 4,795 ratings",False,
"Asterix in Spanien (Asterix, #14)",René Goscinny,"4.11 avg rating — 7,359 ratings",False,
"Asterix the Gaul (Asterix, #1)",René Goscinny,"4.19 avg rating — 30,799 ratings",False,
"Astonishing X-Men, Vol. 1: Gifted",Joss Whedon|(Writer),"4.19 avg rating — 30,074 ratings",False,
"Astonishing X-Men: Gambit, Vol. 1 - House of Cards",John Layman,3.62 avg rating — 213 ratings,False,
"Astro Boy, Vol. 1",Osamu Tezuka,"3.79 avg rating — 1,135 ratings",False,
"Astro City, Vol. 1: Life in the Big City",Kurt Busiek,"4.12 avg rating — 10,371 ratings",False,
Astronauts: Women on the Final Frontier,Jim Ottaviani,4.05 avg rating — 790 ratings,False,
"Atana and the Firebird (Atana, 1)",Vivian Zhou,4.10 avg rating — 538 ratings,False,
Atlantis Wasn't Built For Tourists Vol. 1,Eric Palicki,3.75 avg rating — 48 ratings,False,
"Atomic Robo and the Fightin' Scientists of Tesladyne (Atomic Robo, #1)",Brian Clevinger,"4.14 avg rating — 2,950 ratings",False,
Atomic Robo: Other Strangeness,,,False,
Atomic Robo: The Deadly Art of Science,,,False,
Atomic Robo: The Dogs of War,,,False,
Atomic Robo: The Fightin Scientists of Tesmadyne,,,False,
Atomic Robo: The Shadow From Beyond Time,,,False,
"Attack on Titan, Vol. 1 (Attack on Titan, #1)",Hajime Isayama,"4.47 avg rating — 252,048 ratings",False,
Avatar Volume 1: The Last Airbender (Avatar #1),Michael Dante DiMartino|(Creator),"4.54 avg rating — 10,067 ratings",False,
"Avatar: The Last Airbender - The Promise, Part 1 (The Promise, #1)",Gene Luen Yang,"4.30 avg rating — 32,485 ratings",False,
Avengers vs. X-Men: Consequences,Kieron Gillen,"3.85 avg rating — 1,902 ratings",False,
Avengers: The Children's Crusade,Allan Heinberg|(Writer),"4.26 avg rating — 7,121 ratings",False,
"Awkward (Berrybrook Middle School, #1)",Svetlana Chmakova,"4.18 avg rating — 49,512 ratings",False,
"Aya (Aya, #1)",Marguerite Abouet,"3.78 avg rating — 6,797 ratings",False,
"Aya de Yopougon, Tome 7 (Aya, #7)",Marguerite Abouet,4.18 avg rating — 255 ratings,False,
Ayako,Osamu Tezuka,"3.94 avg rating — 2,232 ratings",False,
"Azumanga Daioh, Vol. 1 (Azumanga Daioh, #1)",Kiyohiko Azuma,"4.20 avg rating — 5,806 ratings",False,
"B.P.R.D., Vol. 1: Hollow Earth & Other Stories",Mike Mignola,"4.04 avg rating — 4,729 ratings",False,
Baby: A Soppy Story,Philippa Rice,4.09 avg rating — 518 ratings,False,
Bad Gateway,Simon Hanselmann,"4.31 avg rating — 1,839 ratings",False,
Bad Island,Doug TenNapel,"3.96 avg rating — 6,505 ratings",False,
Bad Sister,Charise Mericle Harper,"3.66 avg rating — 1,295 ratings",True,
"Bakuman, Vol. 1",Tsugumi Ohba,"4.15 avg rating — 21,266 ratings",False,
Ballad for Sophie,Filipe Melo,"4.68 avg rating — 6,836 ratings",False,
Baloney and Friends,Greg Pizzoli,3.89 avg rating — 773 ratings,False,
"Baltimore, Vol. 1: The Plague Ships",Mike Mignola,"3.88 avg rating — 2,734 ratings",False,
Banana Fox and the Secret Sour Society,James Kochalka,3.72 avg rating — 254 ratings,False,
BANG!,Matt Kindt,3.50 avg rating — 321 ratings,False,
Banned Book Club,Kim Hyun Sook,"3.97 avg rating — 5,302 ratings",False,
Barbalien: Red Planet,Jeff Lemire,4.00 avg rating — 606 ratings,False,
Barda,Ngozi Ukazu,4.05 avg rating — 406 ratings,False,
"Barefoot Gen, Volume One: A Cartoon Story of Hiroshima",Keiji Nakazawa,"4.26 avg rating — 8,150 ratings",False,
Barely Functional Adult: It’ll All Make Sense Eventually,Meichi Ng,"4.16 avg rating — 2,810 ratings",False,
Basil and Oregano,Melissa Capriglione,"3.86 avg rating — 1,987 ratings",False,
"Basilisk, Vol. 1",Cullen Bunn,3.51 avg rating — 429 ratings,False,
Basketful of Heads,Joe Hill,"4.08 avg rating — 6,210 ratings",False,
"Batgirl, Vol. 1: Batgirl Rising",Bryan Q. Miller,"4.19 avg rating — 3,761 ratings",False,
"Batgirl, Volume 1: Batgirl of Burnside",Cameron   Stewart|(Writer),"3.78 avg rating — 6,629 ratings",False,
"Batgirl, Volume 1: The Darkest Reflection",Gail Simone|(Writer),"3.97 avg rating — 12,496 ratings",False,
Batgirl: Year One,Scott Beatty,"4.11 avg rating — 8,302 ratings",False,
Batman & Dracula: Red Rain,Doug Moench,"3.65 avg rating — 3,121 ratings",False,
"Batman & Robin, Vol. 1: Batman Reborn",Grant Morrison|(Writer),"4.08 avg rating — 20,658 ratings",False,
Batman & Superman: World's Finest,Karl Kesel,3.65 avg rating — 292 ratings,False,
"Batman and Robin, Volume 1: Born to Kill",Patrick Gleason|(Penciler),"4.17 avg rating — 11,417 ratings",False,
Batman and Son,Grant Morrison,"3.81 avg rating — 12,976 ratings",False,
"Batman Black and White, Vol. 1",Mark Chiarello|(Editor),"4.05 avg rating — 7,382 ratings",False,
"Batman, Vol. 5: The Rules of Engagement",Tom King,"4.20 avg rating — 3,273 ratings",False,
"Batman, Volume 1: The Court of Owls",Scott Snyder,"4.33 avg rating — 60,819 ratings",False,
"Batman, Volume 3: Death of the Family",Scott Snyder|(Writer),"4.32 avg rating — 20,456 ratings",False,
Batman: A Death in the Family,Jim Starlin,"4.08 avg rating — 32,427 ratings",False,
Batman: Arkham Asylum - A Serious House on Serious Earth,Grant Morrison,"4.10 avg rating — 73,044 ratings",False,
Batman: City of Crime,David Lapham,3.50 avg rating — 605 ratings,False,
Batman: Dark Victory,Jeph Loeb,"4.16 avg rating — 33,537 ratings",False,
Batman: Harley and Ivy,Paul Dini,"4.03 avg rating — 3,002 ratings",False,
Batman: Harley Quinn,Paul Dini,"4.14 avg rating — 2,500 ratings",False,
Batman: Haunted Knight,Jeph Loeb,"3.89 avg rating — 10,470 ratings",False,
Batman: Heart of Hush,Paul Dini,"4.04 avg rating — 8,593 ratings",False,
Batman: Hush,Jeph Loeb|(Writer),"4.27 avg rating — 51,061 ratings",False,
"Batman: Hush, Vol. 1",Jeph Loeb,"4.11 avg rating — 45,714 ratings",False,
"Batman: Knightfall, Part One: Broken Bat",Doug Moench,"4.11 avg rating — 21,145 ratings",False,
Batman: Noël,Lee Bermejo,"4.03 avg rating — 8,688 ratings",False,
Batman: R.I.P.,Grant Morrison,"3.80 avg rating — 14,498 ratings",False,
Batman: Red Hood - The Lost Days,Judd Winick|(Writer),"4.12 avg rating — 3,087 ratings",False,
Batman: The Black Mirror,Scott Snyder|(Writer),"4.28 avg rating — 24,600 ratings",False,
Batman: The Cult,Jim Starlin,"3.90 avg rating — 5,725 ratings",False,
Batman: The Dark Knight Returns,Frank Miller,"4.26 avg rating — 189,301 ratings",False,
Batman: The Dark Knight Strikes Again,Frank Miller|(Writer/Illustrator),"3.20 avg rating — 15,749 ratings",False,
Batman: The Killing Joke,Alan             Moore,"4.37 avg rating — 225,903 ratings",False,
Batman: The Long Halloween,Jeph Loeb,"4.33 avg rating — 102,330 ratings",False,
Batman: The Man Who Laughs,Ed Brubaker,"4.08 avg rating — 25,426 ratings",False,
Batman: The Return of Bruce Wayne,Grant Morrison|(Writer),"3.51 avg rating — 4,632 ratings",False,
Batman: Three Jokers,Geoff Johns,"3.95 avg rating — 6,345 ratings",False,
Batman: Under the Red Hood,Judd Winick|(Writer),"4.37 avg rating — 9,988 ratings",False,
Batman: War on Crime,Alex Ross,"4.18 avg rating — 4,348 ratings",False,
Batman: Whatever Happened to the Caped Crusader?,Neil Gaiman,"3.98 avg rating — 19,506 ratings",False,
Batman: Year 100,Paul Pope,"3.77 avg rating — 5,533 ratings",False,
Batman: Year One,Frank Miller|(Writer),"4.24 avg rating — 256,346 ratings",False,
Batman/Superman/Wonder Woman: Trinity,Matt Wagner,"3.89 avg rating — 5,115 ratings",False,
Batman/The Maxx: Arkham Dreams,Sam Kieth,2.95 avg rating — 227 ratings,False,
Batter Royale,Leisl Adams,"3.62 avg rating — 2,107 ratings",False,
"Battle Angel Alita Deluxe Edition, Vol. 1",Yukito Kishiro,"4.22 avg rating — 2,409 ratings",False,
"Battle Angel Alita, Vol. 1",Yukito Kishiro,"4.19 avg rating — 11,021 ratings",False,
Battle Chasers: A Gathering of Heroes,Joe Madureira,3.99 avg rating — 278 ratings,False,
"Battle Royale, Vol. 01 (Battle Royale, #1)",Koushun Takami,"4.00 avg rating — 5,308 ratings",False,
"Battling Boy (Battling Boy, 1)",Paul Pope,"3.69 avg rating — 3,446 ratings",False,
"Batwoman, Volume 1: Hydrology","J.H. Williams III|(Writer, Illustrator)","4.06 avg rating — 9,697 ratings",False,
Batwoman: Elegy,Greg Rucka,"4.16 avg rating — 13,220 ratings",False,
Be More Chill: The Graphic Novel,Ned Vizzini,"3.14 avg rating — 1,269 ratings",False,
Bea Wolf,Zach Weinersmith,"4.37 avg rating — 2,663 ratings",False,
"Beanworld, Vol. 1: Wahoolazuma!",Larry Marder,4.27 avg rating — 242 ratings,False,
Beasts of Burden: Animal Rites,Evan Dorkin,"4.19 avg rating — 4,901 ratings",False,
Beasts of Burden: Occupied Territory,Evan Dorkin,4.09 avg rating — 222 ratings,False,
Beating the Odds: Purple Flame and Dabung Girl,Nitya Rathi,4.74 avg rating — 34 ratings,False,
Beautiful Creatures: The Graphic Novel,Kami Garcia,"4.03 avg rating — 9,327 ratings",False,
Beautiful Darkness,Fabien Vehlmann,"3.87 avg rating — 11,238 ratings",False,
Beauty,Hubert,"3.96 avg rating — 2,924 ratings",False,
Becoming Brianna (Emmie & Friends #4),Terri Libenson,"4.12 avg rating — 4,319 ratings",False,
Bedlam Vol. 1,Nick Spencer,"3.98 avg rating — 1,958 ratings",False,
Beetle & the Hollowbones,Aliza Layne,"4.31 avg rating — 4,999 ratings",False,
"Ben Braver and the Vortex of Doom (Ben Braver, #3)",Marcus Emerson,4.66 avg rating — 236 ratings,False,
Beneath the Trees: Winter Chills,Dav,4.10 avg rating — 123 ratings,False,
Berlin,Jason Lutes,"4.45 avg rating — 3,252 ratings",False,
"Berlin, Vol. 1: City of Stones",Jason Lutes,"3.94 avg rating — 6,239 ratings",False,
Bermuda,John Layman,3.43 avg rating — 99 ratings,False,
"Berserk, Vol. 1 (Berserk, #1)",Kentaro Miura,"4.48 avg rating — 50,261 ratings",False,
Best Friends (Sweet Valley Twins Graphic Novels #1),Nicole Andelfinger|(Adapter),"3.93 avg rating — 2,214 ratings",False,
Best of American Splendor,Harvey Pekar,"4.10 avg rating — 1,096 ratings",False,
Best Party Ever! (Pizza and Taco #2),Stephen Shaskan,3.97 avg rating — 569 ratings,False,
Beta Testing the Ongoing Apocalypse,Tom Kaczynski,3.50 avg rating — 50 ratings,False,
Better Place,Duane Murray,4.18 avg rating — 342 ratings,False,
Beverly,Nick Drnaso,"3.98 avg rating — 3,289 ratings",False,
Beware the Claw! (Hound Heroes #1) (1),Todd Goldman,3.75 avg rating — 109 ratings,False,
"Beware the Villainess!, Vol. 1",Blue Canna|(Artist),3.88 avg rating — 93 ratings,False,
"Beyond Palomar (Luba and Palomar, #3)",Gilbert Hernández,4.22 avg rating — 655 ratings,False,
"Beyond the Hundred Kingdoms (The Courageous Princess, #1)",Rod Espinosa,"4.05 avg rating — 1,193 ratings",False,
Bhimayana,Srividya Natarajan,4.28 avg rating — 756 ratings,False,
"Bien, gracias. ¿Y usted?",Quino,4.35 avg rating — 337 ratings,False,
Big Baby,Charles Burns,"3.96 avg rating — 1,701 ratings",False,
Big Kids,Michael DeForge,"4.17 avg rating — 1,614 ratings",False,
Big Nate: From the Top,Lincoln Peirce,"4.23 avg rating — 24,890 ratings",False,
Big Questions,Anders Nilsen,"4.16 avg rating — 4,214 ratings",False,
Billionaire Island,Mark   Russell,3.71 avg rating — 403 ratings,False,
Billionaire Island: Cult of Dogs (2),Mark   Russell,3.68 avg rating — 37 ratings,False,
Billionaires: The Lives of the Rich and Powerful,Darryl Cunningham,4.09 avg rating — 400 ratings,False,
Binky Brown Meets the Holy Virgin Mary,Justin Green,3.80 avg rating — 413 ratings,False,
BIORIPPLE,Nir Levie,3.22 avg rating — 23 ratings,False,
Birds of Maine,Michael DeForge,4.25 avg rating — 624 ratings,False,
"Birds of Prey, Volume 1: Trouble in Mind",Duane Swierczynski|(Writer),"3.79 avg rating — 4,078 ratings",False,
Birds of Prey: End Run,Gail Simone|(Writer),"3.89 avg rating — 2,095 ratings",False,
