Title,Seen,Random
Bokura no Chikyuu no Arukikata,,
Bokura no Hentai,,
Bokura no Shokutaku,,
Bokura no Tsuzuki,,
Bokura wa Minna Kawaisou,,
Bokurano,,
Bokutachi ga Yarimashita,,
Bokutachi wa Mada Aoku,,
Bongchongaksi,,
Bonnouji,,
Boogiepop wa Warawanai,,
BORUTO: TWO BLUE VORTEX,,
Boy meets Maria,,
Boys Run The Riot,,
Bring the Love,,
Brutal: Satsujin Keisatsukan no Kokuhaku,,
Bu Ke Ai De TA,,
Buddha,,
Bukgeom Jeongi,,
Bulpyeonhan Jinsil,,
Bungou Stray Dogs,,
Bungou Stray Dogs BEAST,,
Bungou Stray Dogs BEAST,,
Bungou Stray Dogs Wan!,,
Bungou Stray Dogs: 55 Minutes,,
Bungou Stray Dogs: Dazai Osamu no Nyuusha Shiken,,
Bungou Stray Dogs: Dazai Osamu to Kuro no Jidai,,
"Bungou Stray Dogs: Dazai, Chuuya, Juugosai",,
"Bungou Stray Dogs: Dazai, Chuuya, Juugosai",,
Bungou Stray Dogs: Dead Apple,,
Bungou Stray Dogs: STORM BRINGER,,
Bungou Stray Dogs: Tanteisha Setsuritsu Hiwa,,
Butai ni Sake!,,
Byeoreul Pumeun Swordmaster,,
Canis: Dear Mr. Rain,,
capeta,,
Cardcaptor Sakura,,
Cardcaptor Sakura: Clear Card-hen,,
Cat Street,,
Cesare: Hakai no Souzousha,,
Chainsaw Man,,
Chainsaw Man: Buddy Stories,,
Chakgageun Jayu,,
Chameleon wa Tenohira ni Koi wo Suru.,,
Chamgyoyuk,,
Chang Ge Xing,,
Charlotte,,
Checkmate,,
Cheese in the Trap Season 1,,
Cheese in the Trap Season 2,,
Cheese in the Trap Season 3,,
Cheese in the Trap Season 4,,
Cheol-Su-reul Guhasio,,
Cheolhyeolgeomga Sanyanggaeui Hoegwi,,
Cheongaeui Hag,,
Cheongchun Blossom,,
Cheongchun Lovesome,,
Cheonmaneun Pyeongbeomhage Sal Su Eopda,,
Chi no Wadachi,,
Chi. Chikyuu no Undou ni Tsuite,,
Chi's Sweet Home,,
Chichi no Koyomi,,
Chichi to Hige-Gorilla to Watashi,,
Chiguhagu na Kiss,,
Chihayafuru,,
Chikan Otoko,,
Choinui Sidae,,
Chorokute Kawaii Kimi ga Suki,,
Chrno Crusade,,
Chuan Yue Cheng Fanpai Yao Ruhe Huo Ming,,
Chuunibyou demo Koi ga Shitai!,,
CITY,,
City Hunter,,
Class de 2-banme ni Kawaii Onnanoko to Tomodachi ni Natta,,
CLAYMORE,,
Cloud,,
Clover,,
Colette wa Shinu Koto ni Shita,,
Come to Hand,,
Cong Huang Yan Kai Shi,,
Cool Doji Danshi,,
Coyote,,
Cross Game,,
Crows,,
Cupid ni Rakurai,,
D-Frag!,,
D.Gray-man,,
Daeguneuro Sareoriratda,,
Daerihwaga,,
Dahaenginji Bulhaenginji,,
Dai Dark,,
Daichouhen Doraemon,,
Daisuki na Tsuma Datta,,
Dalbitjogaksa,,
Dalkomsalbeolhan Bubu,,
Dandadan,,
Danganronpa Kirigiri,,
Danshi Koukousei no Nichijou,,
Daraku Kazokuron,,
Dark Gathering,,
Dark Heaven,,
"Dasi Han Beon, Bin Sogeuro",,
Date A Live,,
DDD,,
Dead Dead Demon's Dededededestruction,,
Dear Door,,
DEATH NOTE,,
DEATH NOTE Another Note: Los Angeles BB Renzoku Satsujin Jiken,,
Debut Mot Hamyeon Jungneun Byeong Geollim,,
Defense Game Pokguni Doeeotda,,
Define the Relationship,,
Dekoboko Sugar Days (Mou Ikkai!),,
Demi-chan wa Kataritai,,
Dengeki Daisy,,
Deokuui Yeoja,,
Detroit Metal City,,
Devil May Cry 5: Visions of V,,
Devilman,,
Diamond no Ace,,
Diamond no Ace Act II,,
Dierci Benghuai,,
"Dingji Qiyun, Qiaoqiao Xiulian Qian Nian",,
Dongari,,
Donten ni Warau,,
Doraemon,,
Dorohedoro,,
Doubutsu no Kuni,,
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",,
Doukyuusei,,
Doukyuusei: Gold Ring & Silver Ring,,
Dousei Jidai,,
Dousei Yankee Akamatsu Seven,,
Dr. Frost,,
Dr. STONE,,
Dr. STONE 4D SCIENCE,,
Dr. STONE reboot: Byakuya,,
Dr. STONE: TERRAFORMING,,
Dragon Ball,,
Dragon Quest: Dai no Daibouken,,
Dubeon Saneun Ranker,,
Dungeon Gyeonmullok,,
Dungeon Meshi,,
Dungeon Meshi World Guide Boukensha Bible,,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,
Dungeon ni Deai wo Motomeru no wa Machigatteiru no Darou ka Gaiden: Sword Oratoria,,
Dungeon Sok Sajeong,,
Durarara!!,,
Dwaejiuri,,
EDEN: It's an Endless World!,,
Eleceed,,
Emiya-san Chi no Kyou no Gohan,,
Emma,,
Emo x Tianshi Buneng Youhao Xiangchu,,
Ending Hu Seobeunameul Juwotda,,
Ending Maker,,
Enen no Shouboutai,,
Eojjeodaboni Cheonsaengyeonbun,,
Eommaga Gyeyakgyeolhon Haetda,,
Eommahanten Bimiriya!,,
Eommareul Mannareo Ganeun Gil,,
Eoneu Nal Gongjuga Doeeobeoryeotda,,
Eotteon Gyemonimui Marchen,,
Erha He Tade Baimao Shizun,,
Exorcist wo Otosenai,,
Eyeshield 21,,
Fake Fact Lips,,
FANGS,,
Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,,
Fate/kaleid liner Prisma☆Illya 3rei!!,,
Fate/stay night [Heaven's Feel],,
Fate/stay night: Unlimited Blade Works,,
Fate/strange Fake,,
Fate/strange Fake,,
Fate/Zero,,
Feng Shen Ji,,
Feng Shen Ji II,,
Feng Shen Ji III,,
Fire Punch,,
FLY ME TO THE MOON,,
Flying Witch,,
Fool Night,,
Fools,,
Freesia,,
Fruits Basket,,
Fuckpect Buddy,,
Fukakai na Boku no Subete wo,,
Fukigen na Mononokean,,
Fukutsu no Zono,,
Full Metal Panic!,,
Full Metal Panic! Sigma,,
Full Moon wo Sagashite,,
Fumetsu no Anata e,,
Fushigi Neko no Kyuu-chan,,
Fushigi no Kuni no Bird,,
Futari Ashita mo Sorenari ni,,
Futari no Lion,,
Futaribeya,,
Futarigurashi,,
Futarijime Romantic,,
Futatsu no Spica,,
Futsuu no Keionbu,,
"Fuufu Ijou, Koibito Miman.",,
Gabriel Dropout,,
Gachiakuta,,
Gajja Dongmaeng,,
Gakjaui D-Day,,
Gakkou Gurashi!,,
Gakkou Gurashi!: Otayori,,
Gakuen Alice,,
Gakuen Babysitters,,
Game Sok Babarian-euro Saranamgi,,
Ganbare! Nakamura-kun!!,,
GANGSTA.,,
GANTZ,,
Gekiga Hyouryuu,,
Gekijouban Mahou Shoujo Madoka★Magica: Shinpen - Hangyaku no Monogatari,,
Gekkan Shoujo Nozaki-kun,,
Gekkou,,
Genjitsu Touhi Shitetara Boroboro ni Natta Hanashi,,
Genkai OL-san wa Akuyaku Reijou-sama ni Tsukaetai,,
Genshiken,,
Geomsulmyeongga Mangnaeadeul,,
Geonmulju Nuna,,
Getter Robo Go,,
Getter Robo Saga,,
Geu Angnyeoreul Josimhaseyo!,,
Geu Kkeute Inneun Geot,,
Geujeo Yeomyeong-ilppun,,
Geunyeoga Gongjagjeolo Gaya Haessdeon Sajeong,,
Geunyeoui Simcheong,,
Geunyeoui Sohwansu,,
Ghost Hunt,,
GIANT KILLING,,
Giji Harem,,
Gimai Seikatsu,,
Gin no Saji,,
Gintama,,
GIRL FRIENDS,,
Girls und Panzer: Ribbon no Musha,,
Given,,
Glass no Kamen,,
Go-toubun no Hanayome,,
Goblin Slayer Gaiden: Year One,,
Gochuumon wa Usagi desu ka?,,
God of High School,,
Goeryeok Nansin,,
Gogyosaengeul Hwanbulhae Juseyo,,
Gokinjo Monogatari,,
Gokurakugai,,
Gokurakugai Sanban-doori no Ken,,
Gokusen,,
Gokushufudou,,
Golden Kamuy,,
Goma Shio to Purin,,
Gorae Byul,,
GOSICK,,
Gosu,,
Goukon ni Ittara Onna ga Inakatta Hanashi,,
Grace Gildeul-igi,,
Grand Blue,,
Grappler Baki,,
GREAT PRETENDER,,
GTO,,
GTO: SHONAN 14 DAYS,,
Gu Shi Yu Ni: 300 Tian,,
Gu Zhenren,,
Guangxiang,,
Guanyu Bei Banshang Lücha Weixie Na Jian Shi,,
Gugyeonghaneun Deulleoriyang,,
Gujebulleung,,
GUNNM,,
GUNNM: Last Order,,
GUNSLINGER GIRL,,
Gwangmahoegwi,,
Gwihwanjaui Mabeobeun Teukbyeolhaeya Hamnida,,
Gwijeongudam,,
Gyeolhon Jangsa,,
Gyeoul Jina Beojkkoch,,
H2,,
Hachimitsu to Clover,,
Hadashi no Gen,,
Hae Tteuneun Jip,,
Hagane no Renkinjutsushi,,
Hagane no Renkinjutsushi,,
Hai to Gensou no Grimgar,,
Haikyuu!!,,
Haikyuu!!: Tokubetsu Bangai-hen - Matsuri Futatabi,,
Hajime no Ippo,,
Hajishirazu no Purple Haze: JoJo no Kimyou na Bouken,,
Hakumei to Mikochi,,
Hana Monogatari,,
Hana ni Arashi,,
Hana nomi zo Shiru,,
Hana to Akuma,,
Hana wa Saku ka,,
"Hana wa Saku, Shura no Gotoku",,
Hanakoi Tsurane,,
Hanamonogatari,,
Hananoi-kun to Koi no Yamai,,
Hanazakari no Kimitachi e,,
Hanma Baki,,
Harenochi Shikibu,,
Haru to Natsu to Nacchan to Aki to Fuyu to Boku,,
"Haru Tsuzuru, Sakura Saku Kono Heya de",,
Haruka na Machi e,,
Haruka Tooki Ie,,
Harukaze no Étranger,,
Haruman Nega Doego Sipeo,,
Helck,,
Hellper,,
HELLSING,,
Hengoku no Schwester,,
Here U Are,,
Hero Killer,,
Heunhan Binguimurin Jul Aratda,,
Hi no Tori,,
Hi Score Girl,,
Hibari no Asa,,
Hidamari ga Kikoeru,,
Hidamari ga Kikoeru: Koufukuron,,
Hidamari ga Kikoeru: Limit,,
Hidamari ga Kikoeru: Shunkashuutou,,
Hidamari no Orange,,
Hidamari Sketch,,
Hige to Suzu to Shabondama,,
High School DxD,,
Higurashi no Naku Koro ni - Dai 1-wa: Onikakushi-hen,,
Higurashi no Naku Koro ni Kai - Dai 2-wa: Tsumihoroboshi-hen,,
Higurashi no Naku Koro ni Kai: Matsuribayashi-hen,,
Higurashi no Naku Koro ni Kai: Meakashi-hen,,
Higurashi no Naku Koro ni Kai: Minagoroshi-hen,,
Higurashi no Naku Koro ni Kai: Tsumihoroboshi-hen,,
Higurashi no Naku Koro ni: Onikakushi-hen,,
Higurashi no Naku Koro ni: Tatarigoroshi-hen,,
Higurashi no Naku Koro ni: Watanagashi-hen,,
"Hikaeme ni Itte mo, Kore wa Ai",,
Hikari to Tomo ni...,,
Hikaru ga Shinda Natsu,,
Hikaru no Go,,
Himitsu: Top Secret,,
Hinamatsuri,,
Hinomaru-Zumou,,
Hiraeth wa Tabiji no Hate,,
Hirano to Kagiura,,
Hirayasumi,,
Hirunaka no Ryuusei,,
Historie,,
Hitokui Magical: Satsuriku Kijutsu no Niounomiya Kyoudai,,
Hitori Koukan Nikki,,
Hitoribocchi no Marumaru Seikatsu,,
Hitsugi Katsugi no Kuro. Kaichuu Tabi no Wa,,
Hoegwihan Yongbyeongeun Da Gyehoegi Itda,,
Hoegwija Sayongseolmyeongseo,,
Hokuhokusei ni Kumo to Ike,,
Hokuou Kizoku to Moukinzuma no Yukiguni Karigurashi,,
Hokuto no Ken,,
Holyland,,
Homunculus,,
Honey Lemon Soda,,
Honto Yajuu,,
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen - Kizoku-in Gaiden 1-nensei,,
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen - Tanpenshuu,,
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 1-bu - Heishi no Musume,,
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 1-bu - Hon ga Nai nara Tsukureba Ii!,,
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 2-bu - Hon no Tamenara Miko ni Naru!,,
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 2-bu - Shinden no Miko Minarai,,
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 3-bu - Ryouchi ni Hon wo Hirogeyou!,,
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 3-bu - Ryoushu no Youjo,,
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 4-bu - Kizoku-in no Jishou Tosho Iin,,
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 4-bu - Kizoku-in no Toshokan wo Sukuitai!,,
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 5-bu - Megami no Keshin,,
Horimiya,,
Horimiya Bangai-hen,,
Hoshi Furu Oukoku no Nina,,
Hoshi Mamoru Inu,,
Hoshi no Samidare,,
Hotaru no Yomeiri,,
Houkago Kitaku Biyori,,
Houkago Shounen Hanako-kun,,
Hourou Musuko,,
Houseki no Kuni,,
Hugugongnyak,,
Hugung Scandal,,
Hunter-neun Joyonghi Salgo Sipda,,
HUNTER×HUNTER,,
Huo Feng Liao Yuan,,
Hurejasik,,
Hwajang Jiwojuneun Namja,,
Hwang Ryongjeon,,
"Hwangnyeo, Banyeokjareul Gaginsikida",,
Hwasangwihwan,,
Hyanghaneun Girui Majimang Georeum,,
Hyouka,,
Hyouka,,
Ibeon Saeng-do Jal Butakae,,
Ibeon Saengeun Gajuga Doegetseumnida,,
"Ichido dake demo, Koukai Shitemasu.",,
Ignat no Hanayome,,
Igye Geomwang Saengjongi,,
Ihaebulneung,,
Ije God Chugseubnida,,
Ikemen Girl to Hakoiri Musume,,
Iken Senki Völundio,,
Ikigami,,
Ikoku Nikki,,
Ikusamonogatari,,
Iltagangsa Baeksabu,,
Imaizumin-chi wa Douyara Gal no Tamariba ni Natteru Rashii,,
Imawa no Kuni no Alice,,
Imouto sae Ireba Ii.,,
"Inari, Konkon, Koi Iroha.",,
Ineoreul Wihan Suyeonggyosil,,
Ingineun Mueonga Jalmotdoeeotda,,
Initial D,,
Innocent,,
Innocent Rouge,,
Insaeng Jonmang,,
Insoui Beopchik,,
Inuyasha,,
Iphagyongbyeong,,
Iris Zero,,
Iryuu: Team Medical Dragon,,
Isegye Milf Hunter,,
Isekai Goumon Hime,,
"Isekai ni Kyuuseishu to Shite Yobaremashita ga, Arasa ni wa Muri nano de, Hissori Book Cafe Hajimemashita.",,
Isekai no Sata wa Shachiku Shidai,,
Isekai Oji-san,,
Isekai Samurai,,
Isshou Senkin,,
"Itai no Itai no, Tonde Yuke",,
Itoshi no Nekokke,,
Itou Junji Jisen Kessakushuu,,
Itou Junji Kessakushuu,,
Itou Junji Kyoufu Manga Collection,,
Itsuka koi ni Naru made,,
Iutjim Guild-won,,
J no Subete,,
Jaeanggeum Yeongungnimi Gwihwanhasyeotda,,
Jaehon Hwanghu,,
Jaesu Joheun Namja,,
Jakjeonmyeong Sunjeong,,
Jaku-Chara Tomozaki-kun,,
Janburui Gisa,,
Jangneureul Bakkwobodorok Hagetseumnida,,
Jeoldaegeomgam,,
Jeoldaehoegwi,,
Jeonjijeok Dokja Sijeom,,
Jeonwangjeongi,,
Jianle Dongxi de Lang,,
Jibaku Shounen Hanako-kun,,
Jibaku Shounen Hanako-kun 0,,
Jibi Eopseo,,
Jibun no Karada wo Yurusu made,,
Jigojisun,,
Jigokuraku,,
Jing Jiu,,
Jintian De Ta Yeshi Ruci Keai,,
Jishou Akuyaku Reijou na Konyakusha no Kansatsu Kiroku.,,
Jitsu wa Watashi wa,,
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,,
JoJo no Kimyou na Bouken: JoJolion,,
JoJo no Kimyou na Bouken: Ougon no Kaze,,
JoJo no Kimyou na Bouken: Sentou Chouryuu,,
JoJo no Kimyou na Bouken: Stardust Crusaders,,
JoJo no Kimyou na Bouken: Steel Ball Run,,
JoJo no Kimyou na Bouken: Stone Ocean,,
JoJo no Kimyou na Bouken: The JOJOLands,,
Joou to Shitateya,,
Josee to Tora to Sakana-tachi,,
Joshikousei no Mudazukai,,
Jugeume Gwanhayeo,,
Jujutsu Kaisen,,
Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou,,
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",,
Jun: Shotaro no Fantasy World,,
Jungle Juice,,
Kabukichou Bad Trip,,
Kabukimonogatari,,
Kage no Jitsuryokusha ni Naritakute!,,
Kage no Jitsuryokusha ni Naritakute!,,
Kageki Shoujo!!,,
Kagerou Days,,
Kagerou Daze,,
Kagurabachi,,
Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen,,
Kaichou wa Maid-sama!,,
Kaichou wa Maid-sama!: Marriage,,
Kaijuu 8-gou,,
Kaijuu no Kodomo,,
Kakeochi Girl,,
Kaketa Tsuki to Doughnuts,,
Kakukaku Shikajika,,
Kami no Fune de Nemuru,,
Kami nomi zo Shiru Sekai,,
Kami-sama ga Uso wo Tsuku.,,
Kamibukuro-kun wa Koishiteru,,
Kamigami no Itadaki,,
Kamisama Hajimemashita,,
Kamisama no Iutoori Ni,,
Kamisama no Uroko,,
Kanata Kara,,
Kanata no Astra,,
Kani ni Sasowarete,,
Kaoru Hana wa Rin to Saku,,
Kara no Kyoukai: Mirai Fukuin - The Garden of Sinners/Recalled Out Summer,,
Kara no Kyoukai: The Garden of Sinners,,
Karakai Jouzu no (Moto) Takagi-san,,
Karakai Jouzu no Takagi-san,,
Karakuri Circus,,
Karaoke Iko!,,
Karasugaoka Don't be shy!!,,
Kareshi Kanojo no Jijou,,
Kasane,,
Kase-san Series,,
"Kashikomarimashita, Destiny: Answer",,
Katanagatari,,
Katekyo Hitman REBORN!,,
Kawaii nante Kiitenai!!,,
Kaze no Tani no Nausicaä,,
Kaze to Ki no Uta,,
Kazoku ni Narouyo,,
Ke Zai Meiyan Jian,,
Kekkaishi,,
"Kekkon Suru tte, Hontou desu ka: 365 Days To The Wedding",,
Kekkyoku Sonna Kimi Ga Suki,,
Kemutai Hanashi,,
Kengan Ashura,,
Kesa mo Yuraretemasu,,
Ki ni Natteru Hito ga Otoko Janakatta,,
Kidou Senshi Gundam: The Origin,,
Kieta Hatsukoi,,
Kiichi VS,,
Kiichi!!,,
Killer Pedro,,
Killer-ga Sarange Ppajyeosseul Ttae,,
Kim Biseoga Wae Geureolkka,,
Kimetsu no Yaiba,,
Kimetsu no Yaiba: Rengoku Kyoujurou Gaiden,,
Kimi ga Bokura wo Akuma to Yonda Koro,,
Kimi ga Shinu made Koi wo Shitai,,
Kimi ni Okuru Eien,,
Kimi ni Todoke,,
Kimi ni Todoke Bangai-hen: Unmei no Hito,,
Kimi ni wa Todokanai.,,
Kimi no Koto ga Dai Dai Dai Dai Daisuki na 100-nin no Kanojo,,
Kimi no Na wa.,,
Kimi no Sekai ni Koi wa Nai,,
Kimi no Suizou wo Tabetai,,
Kimi no Sumire,,
Kimi no Yokogao wo Miteita,,
Kimi no Yoru ni Fureru,,
Kimi to Boku.,,
Kimi to Nara Koi wo Shite Mite mo,,
Kimi to Natsu no Naka,,
Kimi to Tsuzuru Utakata,,
Kimi to Uchuu wo Aruku Tame ni,,
Kimi wa Houkago Insomnia,,
Kimi wa Kawaii Onnanoko,,
Kimi wa Natsu no Naka,,
Kimi wa Nazotoki no Ma Cherie,,
Kimi wa Pet,,
Kimi wa Tsukiyo ni Hikarikagayaku,,
Kimi wa Tsukiyo ni Hikarikagayaku,,
Kindaichi Shounen no Jikenbo,,
King's Maker,,
King's Maker: Triple Crown,,
Kingdom,,
Kingdom Hearts: 358/2 Days,,
Kino no Tabi: the Beautiful World,,
"Kinou no Haru de, Kimi wo Matsu",,
Kirai de Isasete,,
Kirihito Sanka,,
Kiseijuu,,
Kishibe Rohan Louvre e Iku,,
Kishibe Rohan wa Ugokanai,,
Kishuku Gakkou no Juliet,,
Kizumonogatari,,
Kkumjariga Isanghandeyo!?,,
Kobato.,,
Kobayashi-san Chi no Maidragon,,
Kodomo no Omocha,,
Koe no Katachi,,
Koe no Katachi,,
Koi ga Michitara,,
Koi ga Ochitara,,
Koi wa Ameagari no You ni,,
Koi yori Aoku,,
Koimonogatari,,
Koimonogatari,,
Koiseyo Mayakashi Tenshi-domo,,
Koisuru (Otome) no Tsukurikata,,
Koisuru Kiseichuu,,
Koiwazurai no Ellie,,
Koko wa Ima kara Rinri desu.,,
Kokoro Connect,,
Kokou no Hito,,
"Komi-san wa, Komyushou desu.",,
Konjiki no Gash!!,,
Konjiki no Gash!! II,,
Kono Bijutsubu ni wa Mondai ga Aru!,,
Kono Koi wo Hoshi ni wa Negawanai,,
Kono Oto Tomare!,,
Kono Sekai no Katasumi ni,,
Kono Subarashii Sekai ni Shukufuku wo!,,
Kono Subarashii Sekai ni Shukufuku wo!,,
Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Subarashii Sekai ni Bakuen wo!,,
Kono Te wo Hanasanai de,,
Koori Zokusei Danshi to Cool na Douryou Joshi,,
Koudo ni Hattatsu Shita Igaku wa Mahou to Kubetsu ga Tsukanai,,
Koukou Debut,,
Kowloon Generic Romance,,
Kozure Ookami,,
Kubikiri Cycle: Aoiro Savant to Zaregotozukai,,
Kubishime Romanticist: Ningen Shikkaku - Zerozaki Hitoshiki,,
Kubo-san wa Mob wo Yurusanai,,
Kuchi ga Saketemo Kimi ni wa,,
Kujira no Kora wa Sajou ni Utau,,
Kumichou Musume to Sewagakari,,
"Kumo desu ga, Nani ka?",,
"Kumo desu ga, Nani ka?",,
Kuragehime,,
Kuroko no Basket,,
Kuroshitsuji,,
Kusunoki Mebuki wa Yuusha de Aru,,
Kusuriya no Hitorigoto,,
Kusuriya no Hitorigoto,,
Kuutei Dragons,,
Kyokou Suiri,,
Kyou kara Ore wa!!,,
Kyoukaisenjou no Horizon,,
Kyuujitsu no Warumono-san,,
Last Game,,
Lian Shi Yingchaose,,
LIAR GAME,,
Life: Senjou no Bokura,,
Lily,,
Link and Ring,,
Log Horizon,,
Log-in Murim,,
Lonely Girl ni Sakaraenai,,
Look Back,,
"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimamana Hanayome Seikatsu wo Mankitsu Suru",,
"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimamana Hanayome Seikatsu wo Mankitsu Suru",,
Lord El-Melloi II-sei no Jikenbo,,
Loss Time ni Hanamuke wo,,
Love Nest,,
Love Nest 2nd,,
LOVE SO LIFE,,
LOVE-BULLET,,
Lovely★Complex,,
Lycoris Recoil,,
Machida-kun no Sekai,,
Machikado Mazoku,,
Madan no Ichi,,
Made in Abyss,,
MADK,,
Madojeonsaenggi,,
Magi,,
Magi: Sinbad no Bouken,,
